city,country,capital,population
Fort-de-France,Martinique,primary,253995.0
New Delhi,India,primary,249998.0
Gaborone,Botswana,primary,235884.0
Paramaribo,Suriname,primary,223757.0
Dili,Timor-Leste,primary,222323.0
Wellington,New Zealand,primary,216200.0
Georgetown,Guyana,primary,200500.0
Pristina,Kosovo,primary,198897.0
Suva,Fiji,primary,185913.0
Nouméa,New Caledonia,primary,182341.0
Podgorica,Montenegro,primary,173024.0
Willemstad,Curaçao,primary,150000.0
Port Louis,Mauritius,primary,149194.0
Reykjavík,Iceland,primary,139875.0
Gitega,Burundi,primary,135467.0
Bern,Switzerland,primary,134506.0
Porto-Novo,Benin,primary,133168.0
Male,Maldives,primary,133019.0
Luxembourg,Luxembourg,primary,132780.0
Papeete,French Polynesia,primary,131695.0
Sri Jayewardenepura Kotte,Sri Lanka,primary,115826.0
Thimphu,Bhutan,primary,114551.0
Bridgetown,Barbados,primary,110000.0
Honiara,Solomon Islands,primary,84520.0
Port of Spain,Trinidad and Tobago,primary,81142.0
Mamoudzou,Mayotte,primary,71437.0
Castries,Saint Lucia,primary,70000.0
Putrajaya,Malaysia,primary,67964.0
São Tomé,Sao Tome and Principe,primary,65468.0
Praia,Cabo Verde,primary,61644.0
Cayenne,French Guiana,primary,61550.0
Mbabane,Eswatini,primary,60691.0
Bandar Seri Begawan,Brunei,primary,50000.0
Port-Vila,Vanuatu,primary,49034.0
Dodoma,Tanzania,primary,45807.0
Apia,Samoa,primary,37708.0
Yamoussoukro,Côte d’Ivoire,primary,37253.0
Monaco,Monaco,primary,36371.0
Oranjestad,Aruba,primary,34980.0
Gibraltar,Gibraltar,primary,34003.0
Saint Helier,Jersey,primary,33522.0
Lomé,Togo,primary,33000.0
Majuro,Marshall Islands,primary,30000.0
Tarawa,Kiribati,primary,28802.0
Douglas,Isle of Man,primary,27938.0
George Town,Cayman Islands,primary,27704.0
Victoria,Seychelles,primary,24701.0
Nuku‘alofa,Tonga,primary,23221.0
Andorra la Vella,Andorra,primary,22615.0
Saint John’s,Antigua and Barbuda,primary,22219.0
Saint Peter Port,Guernsey,primary,18958.0
Nuuk,Greenland,primary,18326.0
Moroni,Comoros,primary,17267.0
Belmopan,Belize,primary,17222.0
Roseau,Dominica,primary,14725.0
Kingstown,Saint Vincent and the Grenadines,primary,13857.0
Tórshavn,Faroe Islands,primary,13326.0
Basseterre,Saint Kitts and Nevis,primary,13220.0
Road Town,"Virgin Islands, British",primary,12603.0
Pago Pago,American Samoa,primary,12576.0
Palikir,"Micronesia, Federated States of",primary,6227.0
Funafuti,Tuvalu,primary,6025.0
Lobamba,Eswatini,primary,5800.0
Marigot,Saint Martin,primary,5700.0
Vaduz,Liechtenstein,primary,5696.0
Saint-Pierre,Saint Pierre and Miquelon,primary,5394.0
Saint George’s,Grenada,primary,4315.0
San Marino,San Marino,primary,4040.0
Avarua,Cook Islands,primary,4009.0
Grand Turk,Turks and Caicos Islands,primary,3700.0
The Valley,Anguilla,primary,3269.0
Tifariti,Morocco,primary,3000.0
Capitol Hill,Northern Mariana Islands,primary,2500.0
Gustavia,Saint Barthelemy,primary,2300.0
Stanley,Falkland Islands (Islas Malvinas),primary,2213.0
Philipsburg,Sint Maarten,primary,1894.0
Longyearbyen,Svalbard,primary,1753.0
Flying Fish Cove,Christmas Island,primary,1599.0
Hagåtña,Guam,primary,1051.0
Mata-Utu,Wallis and Futuna,primary,1029.0
Hamilton,Bermuda,primary,854.0
Vatican City,Vatican City,primary,825.0
Yaren,Nauru,primary,747.0
Jamestown,"Saint Helena, Ascension, and Tristan da Cunha",primary,714.0
Alofi,Niue,primary,597.0
Brades,Montserrat,primary,391.0
Kingston,Norfolk Island,primary,341.0
Basse-Terre,Guadeloupe,primary,307.0
Ngerulmud,Palau,primary,271.0
Adamstown,Pitcairn Islands,primary,47.0
